trade_date,trade_time_utc,symbol,side,qty,fill_model,fill_price,close_price,notional,pnl_to_close,return_on_notional,equity_open,planned_notional,executed_notional,cap_dollars
2026-01-08,2026-01-08T14:30:00+00:00,NVD,buy,63.0,next_open,6.97,7.255,439.10999999999996,17.95500000000001,0.04088952654232427,65728.66,56164.865,1293.165,1314.5732
2026-01-08,2026-01-08T14:30:00+00:00,OPEN,buy,69.0,next_open,6.265,6.415,432.28499999999997,10.350000000000025,0.023942537909018416,65728.66,56164.865,1293.165,1314.5732
2026-01-08,2026-01-08T14:30:00+00:00,RGTI,buy,17.0,next_open,24.81,25.26,421.77,7.650000000000048,0.018137847642079923,65728.66,56164.865,1293.165,1314.5732
2026-01-09,2026-01-09T14:30:00+00:00,NVD,buy,61.0,next_open,7.26,7.27,442.86,0.609999999999987,0.0013774104683195298,66165.235,55137.63,1314.975,1323.3047000000001
2026-01-09,2026-01-09T14:30:00+00:00,OPEN,buy,62.0,next_open,7.095,7.275,439.89,11.160000000000037,0.025369978858351037,66165.235,55137.63,1314.975,1323.3047000000001
2026-01-09,2026-01-09T14:30:00+00:00,RGTI,buy,17.0,next_open,25.425,24.73,432.225,-11.815000000000005,-0.027335299901671592,66165.235,55137.63,1314.975,1323.3047000000001
2026-01-12,2026-01-12T14:30:00+00:00,NVD,buy,56.0,next_open,7.31,7.275,409.35999999999996,-1.9599999999999582,-0.004787961696306328,61800.235,50122.595,1209.13,1236.0047
2026-01-12,2026-01-12T14:30:00+00:00,OPEN,buy,58.0,next_open,7.065,7.035,409.77000000000004,-1.7400000000000144,-0.004246284501061606,61800.235,50122.595,1209.13,1236.0047
2026-01-12,2026-01-12T14:30:00+00:00,RGTI,buy,16.0,next_open,24.375,25.51,390.0,18.160000000000025,0.04656410256410263,61800.235,50122.595,1209.13,1236.0047
2026-01-13,2026-01-13T14:30:00+00:00,NVD,buy,59.0,next_open,7.29,7.21,430.11,-4.720000000000004,-0.010973936899862835,65193.31,51743.020000000004,1274.5,1303.8662
2026-01-13,2026-01-13T14:30:00+00:00,OPEN,buy,61.0,next_open,7.07,6.775,431.27000000000004,-17.994999999999997,-0.041725601131541716,65193.31,51743.020000000004,1274.5,1303.8662
2026-01-13,2026-01-13T14:30:00+00:00,RGTI,buy,16.0,next_open,25.82,24.48,413.12,-21.439999999999998,-0.05189775367931835,65193.31,51743.020000000004,1274.5,1303.8662
2026-01-14,2026-01-14T14:30:00+00:00,NVD,buy,56.0,next_open,7.37,7.41,412.72,2.240000000000002,0.005427408412483044,62649.259999999995,48472.195,1240.225,1252.9851999999998
2026-01-14,2026-01-14T14:30:00+00:00,OPEN,buy,62.0,next_open,6.71,6.65,416.02,-3.7199999999999758,-0.008941877794336753,62649.259999999995,48472.195,1240.225,1252.9851999999998
2026-01-14,2026-01-14T14:30:00+00:00,RGTI,buy,17.0,next_open,24.205,25.72,411.48499999999996,25.75500000000001,0.06259037388969224,62649.259999999995,48472.195,1240.225,1252.9851999999998
2026-01-15,2026-01-15T14:30:00+00:00,NVD,buy,64.0,next_open,7.12,7.1,455.68,-1.2800000000000296,-0.002808988764045009,67925.895,51656.159999999996,1353.7,1358.5179
2026-01-15,2026-01-15T14:30:00+00:00,OPEN,buy,67.0,next_open,6.72,6.3,450.24,-28.139999999999993,-0.062499999999999986,67925.895,51656.159999999996,1353.7,1358.5179
2026-01-15,2026-01-15T14:30:00+00:00,RGTI,buy,17.0,next_open,26.34,24.71,447.78,-27.709999999999983,-0.06188306757782836,67925.895,51656.159999999996,1353.7,1358.5179
2026-01-16,2026-01-16T14:30:00+00:00,NVD,buy,61.0,next_open,6.97,7.17,425.16999999999996,12.20000000000001,0.028694404591104762,64151.585,47366.93,1254.9,1283.0317
2026-01-16,2026-01-16T14:30:00+00:00,OPEN,buy,67.0,next_open,6.39,6.67,428.13,18.760000000000016,0.04381846635367766,64151.585,47366.93,1254.9,1283.0317
2026-01-16,2026-01-16T14:30:00+00:00,RGTI,buy,16.0,next_open,25.1,25.635,401.6,8.560000000000002,0.02131474103585658,64151.585,47366.93,1254.9,1283.0317
2026-01-20,2026-01-20T14:30:00+00:00,NVD,buy,54.0,next_open,7.47,7.795,403.38,17.55000000000001,0.043507362784471246,61369.725000000006,43623.77,1206.33,1227.3945
2026-01-20,2026-01-20T14:30:00+00:00,OPEN,buy,65.0,next_open,6.31,6.4,410.15,5.8500000000000485,0.014263074484944651,61369.725000000006,43623.77,1206.33,1227.3945
2026-01-20,2026-01-20T14:30:00+00:00,RGTI,buy,16.0,next_open,24.55,25.02,392.8,7.519999999999982,0.019144602851323782,61369.725000000006,43623.77,1206.33,1227.3945
2026-01-21,2026-01-21T14:30:00+00:00,NVD,buy,52.0,next_open,7.72,7.325,401.44,-20.539999999999978,-0.051165803108808236,60968.354999999996,41768.72,1189.99,1219.3671
2026-01-21,2026-01-21T14:30:00+00:00,OPEN,buy,63.0,next_open,6.45,6.485,406.35,2.205000000000009,0.005426356589147308,60968.354999999996,41768.72,1189.99,1219.3671
2026-01-21,2026-01-21T14:30:00+00:00,RGTI,buy,15.0,next_open,25.48,23.665,382.2,-27.22500000000002,-0.071232339089482,60968.354999999996,41768.72,1189.99,1219.3671
2026-01-22,2026-01-22T14:30:00+00:00,NVD,buy,54.0,next_open,7.23,7.23,390.42,0.0,0.0,58620.86500000001,38881.36,1165.0,1172.4173000000003
