time,open,high,low,close,volume
2026-02-26T09:30:00-05:00,65.74,65.76,65.34,65.34,1600.0
2026-02-26T10:57:00-05:00,64.33,64.33,64.33,64.33,100.0
2026-02-26T11:06:00-05:00,64.34,64.34,64.34,64.34,100.0
2026-02-26T09:45:00-05:00,65.26,65.26,65.17,65.17,800.0
2026-02-26T11:19:00-05:00,64.58,64.6,64.58,64.6,200.0
2026-02-26T12:14:00-05:00,64.31,64.31,64.31,64.31,300.0
2026-02-26T11:45:00-05:00,64.38,64.4,64.22,64.22,688.0
2026-02-26T13:08:00-05:00,63.99,63.99,63.99,63.99,190.0
2026-02-26T12:33:00-05:00,64.44,64.44,64.44,64.44,100.0
2026-02-26T13:23:00-05:00,64.04,64.04,64.04,64.04,100.0
2026-02-26T15:07:00-05:00,64.6,64.6,64.6,64.6,100.0
