time,open,high,low,close,volume
2026-03-02T09:37:00-05:00,30.58,30.58,30.58,30.58,100.0
2026-03-02T09:42:00-05:00,30.53,30.62,30.53,30.58,350.0
2026-03-02T09:46:00-05:00,30.58,30.58,30.58,30.58,125.0
2026-03-02T09:50:00-05:00,30.56,30.56,30.45,30.45,550.0
2026-03-02T09:55:00-05:00,30.47,30.47,30.41,30.41,725.0
2026-03-02T10:00:00-05:00,30.5,30.56,30.49,30.55,1600.0
2026-03-02T10:05:00-05:00,30.58,30.63,30.58,30.63,250.0
2026-03-02T10:10:00-05:00,30.66,30.69,30.66,30.69,300.0
2026-03-02T10:16:00-05:00,30.76,30.77,30.72,30.73,1125.0
2026-03-02T10:20:00-05:00,30.73,30.79,30.71,30.71,425.0
2026-03-02T10:25:00-05:00,30.71,30.71,30.69,30.69,400.0
2026-03-02T10:36:00-05:00,30.66,30.78,30.65,30.78,900.0
2026-03-02T10:43:00-05:00,30.83,30.83,30.83,30.83,100.0
2026-03-02T10:47:00-05:00,30.88,30.88,30.88,30.88,100.0
2026-03-02T14:23:00-05:00,31.0,31.0,31.0,31.0,100.0
