time,open,high,low,close,volume
2026-02-26T09:31:00-05:00,1.445,1.46,1.43,1.45,9669.0
2026-02-26T09:37:00-05:00,1.475,1.48,1.475,1.48,530.0
2026-02-26T10:08:00-05:00,1.47,1.5,1.47,1.5,9942.0
2026-02-26T10:40:00-05:00,1.53,1.53,1.53,1.53,2000.0
2026-02-26T10:48:00-05:00,1.545,1.545,1.545,1.545,350.0
2026-02-26T10:50:00-05:00,1.545,1.545,1.545,1.545,660.0
2026-02-26T10:57:00-05:00,1.545,1.545,1.545,1.545,200.0
2026-02-26T09:40:00-05:00,1.47,1.48,1.47,1.48,5250.0
2026-02-26T11:44:00-05:00,1.535,1.535,1.535,1.535,100.0
2026-02-26T11:12:00-05:00,1.545,1.55,1.545,1.55,9201.0
2026-02-26T11:48:00-05:00,1.53,1.53,1.53,1.53,100.0
2026-02-26T14:00:00-05:00,1.525,1.525,1.525,1.525,186.0
2026-02-26T15:06:00-05:00,1.56,1.56,1.56,1.56,100.0
2026-02-26T15:24:00-05:00,1.56,1.565,1.56,1.565,6470.0
