time,open,high,low,close,volume
2026-02-27T10:14:00-05:00,19.16,19.16,19.16,19.16,145.0
2026-02-27T10:16:00-05:00,19.14,19.14,19.055,19.055,292.0
2026-02-27T10:25:00-05:00,19.17,19.17,19.13,19.15,484.0
2026-02-27T10:30:00-05:00,19.06,19.11,19.06,19.11,624.0
2026-02-27T10:35:00-05:00,19.05,19.05,18.98,18.98,424.0
2026-02-27T10:52:00-05:00,18.93,18.93,18.88,18.88,368.0
2026-02-27T10:55:00-05:00,18.88,18.88,18.88,18.88,100.0
2026-02-27T13:04:00-05:00,18.56,18.635,18.56,18.63,1416.0
2026-02-27T14:34:00-05:00,18.68,18.68,18.68,18.68,144.0
2026-02-27T14:35:00-05:00,18.68,18.68,18.68,18.68,239.0
