time,open,high,low,close,volume
2026-02-27T10:14:00-05:00,18.36,18.37,18.29,18.37,7848.0
2026-02-27T10:15:00-05:00,18.39,18.41,18.15,18.22,22404.0
2026-02-27T10:20:00-05:00,18.2,18.29,18.105,18.28,17537.0
2026-02-27T10:25:00-05:00,18.25,18.26,18.165,18.2,5133.0
2026-02-27T10:30:00-05:00,18.185,18.23,18.115,18.22,7098.0
2026-02-27T10:35:00-05:00,18.21,18.235,18.105,18.105,4345.0
2026-02-27T10:52:00-05:00,18.02,18.02,17.98,17.98,4529.0
2026-02-27T10:55:00-05:00,17.98,17.98,17.9,17.905,4727.0
2026-02-27T13:04:00-05:00,18.005,18.005,18.0,18.0,565.0
2026-02-27T13:54:00-05:00,17.875,17.875,17.875,17.875,963.0
2026-02-27T14:12:00-05:00,17.905,17.905,17.885,17.885,405.0
2026-02-27T14:32:00-05:00,17.855,17.94,17.855,17.935,5595.0
2026-02-27T14:35:00-05:00,17.95,17.955,17.94,17.955,3889.0
