time,symbol,event,score,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-02-20T08:00:00-05:00,OPEN,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-02-20T08:05:56.851101-05:00,5.49,100.0,5.5,100.0,5.495,0.009999999999999787,0.18198362147406347
2026-02-20T08:00:00-05:00,RGTI,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-02-20T08:07:24.644481-05:00,16.52,100.0,16.53,100.0,16.525,0.010000000000001563,0.060514372163398264
2026-02-20T08:05:00-05:00,OPEN,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-02-20T08:11:57.496942-05:00,5.52,200.0,5.53,100.0,5.525,0.010000000000000675,0.18099547511313438
2026-02-20T08:08:00-05:00,TQQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-02-20T08:11:57.433359-05:00,48.58,100.0,48.61,100.0,48.595,0.030000000000001137,0.061734746373085986
2026-02-20T08:07:00-05:00,RGTI,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-02-20T08:12:59.212595-05:00,16.54,100.0,16.56,200.0,16.549999999999997,0.019999999999999574,0.1208459214501485
2026-02-20T08:00:00-05:00,OPEN,15m_close,1.0,ACTIVE,BOTH,1,1,0,1,1,0,0,0,0,1,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:15:59.671522-05:00,5.52,100.0,5.53,100.0,5.525,0.010000000000000675,0.18099547511313438
2026-02-20T08:11:00-05:00,OPEN,5m_close,1.0,ACTIVE,BOTH,1,1,1,1,1,-1,0,0,0,1,0,-0.02705753798076391,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:15:59.671522-05:00,5.52,100.0,5.53,100.0,5.525,0.010000000000000675,0.18099547511313438
2026-02-20T08:08:00-05:00,TQQQ,15m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,-1,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:15:59.442377-05:00,48.66,100.0,48.69,100.0,48.675,0.030000000000001137,0.06163328197226737
2026-02-20T08:11:00-05:00,TQQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,-1,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:15:59.442377-05:00,48.66,100.0,48.69,100.0,48.675,0.030000000000001137,0.06163328197226737
2026-02-20T08:00:00-05:00,RGTI,15m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,1,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:15:58.770447-05:00,16.55,100.0,16.56,200.0,16.555,0.00999999999999801,0.06040471156749025
2026-02-20T08:12:00-05:00,RGTI,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,1,0,0.11413035782559097,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:15:58.770447-05:00,16.55,100.0,16.56,200.0,16.555,0.00999999999999801,0.06040471156749025
2026-02-20T08:15:00-05:00,RGTI,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,1,0,0.13627573403467866,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:20:55.573264-05:00,16.57,100.0,16.58,200.0,16.575,0.00999999999999801,0.060331825037695394
2026-02-20T08:15:00-05:00,OPEN,5m_close,1.0,ACTIVE,BOTH,1,1,1,1,1,-1,-1,0,0,1,0,-0.17837722220645233,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:20:26.132805-05:00,5.5,100.0,5.51,100.0,5.505,0.009999999999999787,0.18165304268846116
2026-02-20T08:15:00-05:00,TQQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,-1,0,0.04264197493261225,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:21:59.921350-05:00,48.67,100.0,48.7,100.0,48.685,0.030000000000001137,0.061620622368288254
2026-02-20T08:20:00-05:00,RGTI,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,1,0,0.1552051787277326,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:25:50.442642-05:00,16.56,100.0,16.57,100.0,16.564999999999998,0.010000000000001563,0.060368246302454354
2026-02-20T08:21:00-05:00,TQQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,-1,0,0,-1,0,0.059502805132246574,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:25:56.908375-05:00,48.64,100.0,48.67,100.0,48.655,0.030000000000001137,0.06165861679169898
2026-02-20T08:20:00-05:00,OPEN,5m_close,1.0,ACTIVE,BOTH,1,1,2,1,1,-1,-1,1,0,1,0,0.032943842206116354,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:27:57.651655-05:00,5.54,200.0,5.55,100.0,5.545,0.009999999999999787,0.1803426510369664
2026-02-20T08:08:00-05:00,TQQQ,30m_close,1.2,CONFIRMED,BOTH,1,1,0,-1,0,0,-1,0,0,-1,1,0.059502805132246574,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:30:11.588548-05:00,48.69,100.0,0.0,0.0,24.345,-48.69,-200.0
2026-02-20T08:15:00-05:00,TQQQ,15m_close,1.2,CONFIRMED,BOTH,1,1,0,-1,0,0,-1,0,0,1,1,0.059502805132246574,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:30:11.588548-05:00,48.69,100.0,0.0,0.0,24.345,-48.69,-200.0
2026-02-20T08:25:00-05:00,TQQQ,5m_close,1.2,CONFIRMED,BOTH,1,1,1,-1,0,0,-1,1,0,1,1,0.2817016678098217,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:30:11.588548-05:00,48.69,100.0,0.0,0.0,24.345,-48.69,-200.0
2026-02-20T08:00:00-05:00,OPEN,30m_close,1.2,CONFIRMED,BOTH,1,1,2,1,1,-1,-1,1,0,1,1,0.032943842206116354,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:31:54.414162-05:00,5.48,100.0,5.52,100.0,5.5,0.03999999999999915,0.7272727272727117
2026-02-20T08:15:00-05:00,OPEN,15m_close,1.2,CONFIRMED,BOTH,1,1,2,1,1,-1,-1,1,0,1,1,0.032943842206116354,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:31:54.414162-05:00,5.48,100.0,5.52,100.0,5.5,0.03999999999999915,0.7272727272727117
2026-02-20T08:27:00-05:00,OPEN,5m_close,1.2,CONFIRMED,BOTH,1,1,2,1,1,-1,-1,1,1,1,1,0.3322062331758246,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:31:54.414162-05:00,5.48,100.0,5.52,100.0,5.5,0.03999999999999915,0.7272727272727117
2026-02-20T08:00:00-05:00,RGTI,30m_close,1.2,CONFIRMED,BOTH,1,1,0,-1,0,0,0,0,0,1,1,0.1552051787277326,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:32:35.488162-05:00,16.36,100.0,16.46,100.0,16.41,0.10000000000000142,0.6093845216331593
