[WARN] Stream symbol cap hit (30). Dropping market symbols: ['IWM', 'SPY', 'VIXY', 'VTI']
Streaming 1m bars + live quotes for 30 symbols on feed=DataFeed.IEX ...
CLOSED-BAR ONLY: eligibility + features updated ONLY on closed 5m/15m/30m/1h bars.
VWAP thresholds: extreme=1.25%  near=0.10%
Gates: MIN_DAY_VOLUME=300,000  MIN_PCT_CHG=0.75% (abs from day open)
TradeQual: MAX_SPREAD_PCT=0.200%  QUOTE_MAX_AGE_SEC=8  MIN_RR=1.80
Webhook -> FastAPI: ENABLED url=http://127.0.0.1:8000/api/events
MarketDirection: decision_time=10:10 ET tickers: SP_FUT=SPY, NYSE=VTI, DJ=DIA, SP500=SPY, NASDAQ=QQQ, IWM=IWM, VIX=VIXY
Pre-decision: bars/features only. Post-decision: eligibility/session_state/trade_signals enabled.
Regime benchmark symbol: AUTO (select first CONFIRMED at 30m)
[MARKET] Market direction locked @ 11:42 score=-0.675 (vix_penalty=0.000) -> SHORT_ONLY
[1H CLOSED] NGD 09:30 close=12.19
[30M CLOSED] NGD 09:30 close=12.19
[15M CLOSED] NGD 09:45 close=12.19
[5M CLOSED] NGD 09:45 close=12.19
[1H CLOSED] DIA 09:30 close=496.52
[30M CLOSED] DIA 09:30 close=496.52
[15M CLOSED] DIA 09:45 close=496.52
[5M CLOSED] DIA 09:45 close=496.52
[1H CLOSED] SOUN 09:03 close=8.65
[30M CLOSED] SOUN 09:30 close=8.65
[15M CLOSED] SOUN 09:45 close=8.65
[5M CLOSED] SOUN 09:45 close=8.65
[1H CLOSED] RGTI 09:00 close=18.43
[30M CLOSED] RGTI 09:30 close=18.43
[15M CLOSED] RGTI 09:45 close=18.43
[5M CLOSED] RGTI 09:45 close=18.43
[1H CLOSED] TQQQ 09:00 close=50.97
[30M CLOSED] TQQQ 09:30 close=50.97
[15M CLOSED] TQQQ 09:45 close=50.97
[5M CLOSED] TQQQ 09:45 close=50.97
[1H CLOSED] QQQ 09:00 close=612.91
[30M CLOSED] QQQ 09:30 close=612.91
[15M CLOSED] QQQ 09:45 close=612.91
[5M CLOSED] QQQ 09:45 close=612.91
[1H CLOSED] LUNR 09:03 close=16.21
[30M CLOSED] LUNR 09:30 close=16.21
[15M CLOSED] LUNR 09:45 close=16.21
[5M CLOSED] LUNR 09:45 close=16.21
[1H CLOSED] IAG 09:30 close=23.02
[30M CLOSED] IAG 09:30 close=23.02
[15M CLOSED] IAG 09:45 close=23.02
[5M CLOSED] IAG 09:45 close=23.02
[1H CLOSED] XLV 09:30 close=157.42
[30M CLOSED] XLV 09:30 close=157.42
[15M CLOSED] XLV 09:45 close=157.42
[5M CLOSED] XLV 09:45 close=157.42
[1H CLOSED] XLE 09:30 close=54.41
[30M CLOSED] XLE 09:30 close=54.41
[15M CLOSED] XLE 09:45 close=54.41
[5M CLOSED] XLE 09:45 close=54.41
[1H CLOSED] NVD 09:01 close=6.68
[30M CLOSED] NVD 09:30 close=6.68
[15M CLOSED] NVD 09:45 close=6.68
[5M CLOSED] NVD 09:45 close=6.68
[1H CLOSED] UBER 09:30 close=74.26
[30M CLOSED] UBER 09:30 close=74.26
[15M CLOSED] UBER 09:45 close=74.26
[5M CLOSED] UBER 09:45 close=74.26
[1H CLOSED] IONQ 09:30 close=40.19
[30M CLOSED] IONQ 09:30 close=40.19
[15M CLOSED] IONQ 09:45 close=40.19
[5M CLOSED] IONQ 09:45 close=40.19
[1H CLOSED] OPEN 09:02 close=5.15
[30M CLOSED] OPEN 09:30 close=5.15
[15M CLOSED] OPEN 09:45 close=5.15
[5M CLOSED] OPEN 09:45 close=5.15
[1H CLOSED] QTUM 09:30 close=118.76
[30M CLOSED] QTUM 09:30 close=118.76
[15M CLOSED] QTUM 09:30 close=118.76
[5M CLOSED] QTUM 09:30 close=118.76
[1H CLOSED] QBTS 09:30 close=20.57
[30M CLOSED] QBTS 09:30 close=20.57
[15M CLOSED] QBTS 09:45 close=20.57
[5M CLOSED] QBTS 09:45 close=20.57
[1H CLOSED] OUST 09:30 close=19.75
[30M CLOSED] OUST 09:30 close=19.75
[15M CLOSED] OUST 09:45 close=19.75
[5M CLOSED] OUST 09:45 close=19.75
[1H CLOSED] GORO 09:31 close=1.48
[30M CLOSED] GORO 09:31 close=1.48
[15M CLOSED] GORO 09:31 close=1.48
[5M CLOSED] GORO 09:40 close=1.48
[1H CLOSED] NKTR 09:34 close=70.04
[30M CLOSED] NKTR 09:34 close=70.04
[15M CLOSED] NKTR 09:34 close=70.04
[5M CLOSED] NKTR 09:43 close=70.04
[15M CLOSED] TQQQ 11:42 close=49.56
[5M CLOSED] TQQQ 11:42 close=49.56
[15M CLOSED] NVD 11:42 close=6.80
[5M CLOSED] NVD 11:42 close=6.80
[15M CLOSED] SOUN 11:42 close=8.76
[5M CLOSED] SOUN 11:42 close=8.76
[15M CLOSED] OPEN 11:42 close=5.32
[5M CLOSED] OPEN 11:42 close=5.32
[15M CLOSED] IONQ 11:42 close=40.03
[5M CLOSED] IONQ 11:42 close=40.03
[15M CLOSED] NGD 11:42 close=12.49
[5M CLOSED] NGD 11:42 close=12.49
[15M CLOSED] XLE 11:42 close=55.33
[5M CLOSED] XLE 11:42 close=55.33
[15M CLOSED] QQQ 11:42 close=607.29
[5M CLOSED] QQQ 11:42 close=607.29
[15M CLOSED] QBTS 11:42 close=20.67
[5M CLOSED] QBTS 11:42 close=20.67
[1H CLOSED] CHAT 09:30 close=65.17
[30M CLOSED] CHAT 09:30 close=65.17
[15M CLOSED] CHAT 09:45 close=65.17
[5M CLOSED] CHAT 09:45 close=65.17
[15M CLOSED] IAG 11:42 close=23.80
[5M CLOSED] IAG 11:42 close=23.80
[15M CLOSED] UBER 11:42 close=75.03
[5M CLOSED] UBER 11:42 close=75.03
[15M CLOSED] LUNR 11:42 close=17.50
[5M CLOSED] LUNR 11:42 close=17.50
[15M CLOSED] RGTI 11:42 close=18.82
[5M CLOSED] RGTI 11:42 close=18.82
[15M CLOSED] XLV 11:42 close=156.39
[5M CLOSED] XLV 11:42 close=156.39
[15M CLOSED] OUST 11:43 close=19.05
[5M CLOSED] OUST 11:43 close=19.05
[15M CLOSED] DIA 11:42 close=493.70
[5M CLOSED] DIA 11:42 close=493.70
[15M CLOSED] QTUM 11:42 close=117.27
[5M CLOSED] QTUM 11:42 close=117.27
[1H CLOSED] UNG 09:18 close=11.27
[30M CLOSED] UNG 09:30 close=11.27
[15M CLOSED] UNG 09:45 close=11.27
[5M CLOSED] UNG 09:45 close=11.27
[15M CLOSED] GORO 11:44 close=1.53
[5M CLOSED] GORO 11:44 close=1.53
[5M CLOSED] XLV 11:45 close=156.62
